"id","label","relatedto","relatedtohow","source","sourcetype","spatialtype","methodtype","georeferencingby","georeferencingdesc","certainty","literature","wkt"
1,"Acerra Sink","https://sws.geonames.org/6537337","fsl:partlyMatch","fsl:PaperDesc","fsl:Paper","fsl:Sink","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Scandone et al., 1991","POINT(14.362410 40.948921)"
2,"Acqua Fidia","https://www.openstreetmap.org/node/2883423553","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.698266 40.928452)"
3,"Capezzano","http://wikidata.org/entity/Q2610850","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.768027 40.711931)"
4,"Casola","https://www.openstreetmap.org/node/68580470","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Rosi et al., 1999","POINT(14.525934 40.699296)"
5,"Castelcivita Cave","https://sws.geonames.org/10402410","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Cave","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Fedele et al., 2008;Giaccio et al., 2008","POINT(15.206956 40.495630)"
6,"Copecchia","http://wikidata.org/entity/Q3690987","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0000-0002-3246-3531",,"fsl:medium","Rosi et al., 1999","POINT(14.7661749 40.7198433)"
7,"Cuma",,,"fsl:PaperDesc","fsl:Paper","fsl:UnknownCategory","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Pappalardo et al., 1999","POINT(14.052445 40.864608)"
8,"Gulf of Naples","https://sws.geonames.org/3172393","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Arienzo et al., 2009","POINT(13.857051 40.662357)"
9,"Lago Patria (Naples)","https://sws.geonames.org/9881928","fsl:spatialCloseMatch","fsl:PaperDesc","fsl:Paper","fsl:Lake","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997;Scandone et al., 1991","POINT(14.028576 40.923785)"
10,"Marina di Cassano (Naples)","https://sws.geonames.org/11961630","skos:closeMatch","fsl:PaperDesc","fsl:Paper","fsl:Bight ","fsl:Georeferencing","https://orcid.org/0009-0008-2877-3204","set a representative point based on scientific papers using Google Maps","fsl:medium","Civetta et al., 1997","POINT(14.399739 40.638534)"
