"id","label","wkt","literature","spatialtype"
1,"Acerra Sink","POINT(14.3624 40.9489)","Scandone et al., 1991","Sink"
2,"Acqua Fidia","POINT(14.6983 40.9285)","Rosi et al., 1999","UnknownCategory"
3,"Capezzano","POINT(14.7680 40.7119)","Rosi et al., 1999","InhabitedPlace"
4,"Casola","POINT(14.5259 40.6993)","Rosi et al., 1999","InhabitedPlace"
5,"Castelcivita Cave","POINT(15.2092 40.4956)","Fedele et al., 2008;Giaccio et al., 2008","Cave"
6,"Copecchia","POINT(14.7662 40.7198)","Rosi et al., 1999","UnknownCategory"
7,"Cuma","POINT(14.0560 40.8381) ","Pappalardo et al., 1999","UnknownCategory"
8,"Gulf of Naples","POINT(14.2559 40.7192)","Arienzo et al., 2009","Bight "
9,"Lago Patria (Naples)","POINT(14.0366 40.9260)","Civetta et al., 1997;Scandone et al., 1991","InhabitedPlace"
10,"Marina di Cassano (Naples)","POINT(14.3998 40.6385)","Civetta et al., 1997","Bight "
11,"Massaquano (Naples)","POINT(14.4476 40.6619)","Rosi et al., 1999","InhabitedPlace"
12,"Monte Echia (Naples)","POINT(14.2479 40.8312)","Pappalardo et al., 1999","Mountain"
13,"Lago Grande di Monticchio","POINT(15.6057 40.9315)","Narcisi, 1996","Lake"
14,"Monticchio (Bagni)","POINT(15.5699 40.9490)","Rosi et al., 1999","InhabitedPlace"
15,"Monticchio Lakes","POINT (15.6098 40.9319)","Brauer et al., 2000;Fedele et al., 2003","Lake"
16,"Murge Plateau","POINT(16.2833 41.0047)","Giaccio et al., 2008","Plateau"
17,"Naples","POINT(14.2080 40.8537)","Orsi et al., 1996","InhabitedPlace"
18,"Pacognano","POINT(14.4347 40.6484)","Civetta et al., 1997;Rosi et al., 1999","InhabitedPlace"
19,"Paglicci Cave","POINT(15.6150 41.6541)","Giaccio et al., 2008","Cave;ArchaeologicalSite"
20,"Pellezzano","POINT(14.7546 40.7249)","Rosi et al., 1999","InhabitedPlace"
21,"Penta","POINT(14.7979 40.7615)","Rosi et al., 1999","InhabitedPlace"
22,"Phlegraean Fields","POINT(14.1402 40.8275) ","Orsi et al., 1996;Fedele et al., 2003","Supervolcano"
23,"Ponti Rossi (Naples)","POINT(14.2594 40.8731)","Civetta et al., 1997;Giaccio et al., 2008;Pappalardo et al., 1999","UnknownCategory"
24,"Pozzuoli Bay","POINT(14.0890 40.8215)","Orsi et al., 1996","Bight "
25,"Pucara","POINT(14.6459 40.6783)","Civetta et al., 1997","UnknownCategory"
26,"Punta Marmolite","POINT(14.1489 40.8888)","Pappalardo et al., 1999","UnknownCategory"
27,"Sant‘ Agata dei due Golfi","POINT(14.3733 40.6070)","Civetta et al., 1997","InhabitedPlace"
28,"Sant‘ Angelo a Scala","POINT(14.7402 40.9746)","Rosi et al., 1999","InhabitedPlace"
29,"San Marco","POINT(14.3381 41.0369)","Civetta et al., 1997","InhabitedPlace"
30,"San Nicola La Strada","POINT(14.3313 41.0518)","Civetta et al., 1997","InhabitedPlace"
31,"Scarafea Area","POINT(14.1560 40.9346)","Civetta et al., 1997","UnknownCategory"
32,"Serino","POINT(14.8706 40.8567)","Fedele et al., 2008;Giaccio et al., 2008;Lowe et al., 2012","InhabitedPlace"
33,"Starza","POINT(14.7567 41.0075)","Rosi et al., 1999","InhabitedPlace"
34,"Torregaveta","POINT(14.0477 40.8111) ","Pappalardo et al., 1999","InhabitedPlace"
35,"Trefola","POINT(14.1486 40.8926)","Pappalardo et al., 1999","InhabitedPlace"
